,Class,Distance,Name,ID
0,0,0.0006340662510067754,['University of South Carolina-Aiken'],218645
1,0,0.0010998321845537044,['Shepherd University'],237792
2,0,0.0014610953798585681,['Louisiana State University-Shreveport'],159416
3,0,0.0015978589673985215,['Indiana University-Kokomo'],151333
4,0,0.002085626479413548,['Concord University'],237330
5,0,0.0024778699819245505,['West Liberty University'],237932
6,0,0.00372594769085429,['Black Hills State University'],219046
7,0,0.004827321189399622,['University of Minnesota-Crookston'],174075
8,0,0.00841981760253921,['University of Illinois at Springfield'],148654
9,0,0.009970521960521823,['Minot State University'],200253
10,0,0.01738268521716653,['Glenville State College'],237385
11,0,0.01760095603989958,['South Dakota School of Mines and Technology'],219347
12,0,0.01783661431028686,['Lyndon State College'],230931
13,0,0.017851575912449097,['University of South Florida-St Petersburg'],448840
14,0,0.021545171833310034,['Montana State University-Northern'],180522
15,0,0.02414807470247937,['University of Maine at Machias'],161244
16,0,0.029869434326183084,['University of Maine at Fort Kent'],161235
17,0,0.03086561968252495,['Dakota State University'],219082
18,0,0.03230314921480412,['University of South Carolina-Beaufort'],218654
19,1,0.0001435078745126529,['University of Akron Main Campus'],200800
20,1,0.00015469803171290483,['East Carolina University'],198464
21,1,0.00025369516228356925,['George Mason University'],232186
22,1,0.0002664188935963167,['Missouri State University-Springfield'],179566
23,1,0.0002962091814360447,['University of Oregon'],209551
24,1,0.00030086177820609595,['University of Nevada-Las Vegas'],182281
25,1,0.0003096677989789736,['University of North Carolina at Charlotte'],199139
26,1,0.0003205645701637261,['Boise State University'],142115
27,1,0.00033996837697815644,['University of Memphis'],220862
28,1,0.0003487741412271342,['Eastern Kentucky University'],156620
29,1,0.00035035448218702673,['University of Southern Mississippi'],176372
30,1,0.0003780198106370769,['Southern Illinois University-Carbondale'],149222
31,1,0.00039072099863129327,['Murray State University'],157401
32,1,0.0003994360988150749,['Towson University'],164076
33,1,0.0004329768757163828,['Metropolitan State University of Denver'],127565
34,1,0.00045114823809202256,['Georgia Southern University'],139931
35,1,0.00046552326097367065,['Arkansas Tech University'],106467
36,1,0.0004993029447577871,['University of Arkansas at Little Rock'],106245
37,1,0.0005043695170274189,['Middle Tennessee State University'],220978
38,1,0.000570828315775482,['University of Idaho'],142285
39,1,0.0005893269413090448,['University of Illinois at Chicago'],145600
