"INSTNM","PREDDEG","HCM2","SATVR25","SATVR75","SATMT25","SATMT75","SATWR25","SATWR75","SATVRMID","SATMTMID","SATWRMID","ACTCM25","ACTCM75","ACTEN25","ACTEN75","ACTMT25","ACTMT75","ACTWR25","ACTWR75","ACTCMMID","ACTENMID","ACTMTMID","ACTWRMID","SAT_AVG","SAT_AVG_ALL","NPT4_PUB","NPT4_PRIV","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Tint School of Makeup and Cosmetology-Irving",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11963,NA,NA,NA,NA,NA,11963,NA,NA,NA,NA,NA,0.6739,NA,0.7692,5721,63.51482805,0.295454545,NA,0.680522222,17200,0.287878782,1
"Toccoa Falls College",3,0,450,590,450,570,NA,NA,520,510,NA,17,23,17,23,16,23,NA,NA,20,20,20,NA,1000,1000,NA,16526,NA,NA,NA,NA,NA,15518,16808,16555,21266,21150,0.7514,NA,0.4,NA,22750,252.5716375,0.876811594,0.465711275,NA,26400,0.411949694,0.593333333333333
"Tohono O'Odham Community College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4194,NA,4194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4231,NA,0.1538,NA,NA,NA,NA,NA,NA,0.641025662,1
"Toledo Academy of Beauty Culture-East",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8551,NA,NA,NA,NA,NA,8440,8463,NA,NA,13513,NA,0.6,NA,0.9333,10000,111.0205,0.52,NA,0.799987692,13800,0.186046511,0.956521739130435
"Toledo Public Schools Adult and Continuing Education",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13416,NA,13315,16210,16210,16210,NA,NA,NA,NA,NA,NA,NA,0.7742,NA,NA,9500,105.469475,0.670588235,NA,0.879861862,33500,0.648351669,0.965034965034965
"Toledo Restaurant Training Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12340,NA,NA,NA,NA,NA,12340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757009346,NA,NA,1
"Tom P Haney Technical Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6388,NA,6408,6295,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375,NA,0.375,NA,NA,0.466666667,NA,0.438674233,22400,0.341935486,0.823529411764706
"Tomorrow's Image Barber Academy of Virginia",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12302,NA,NA,NA,NA,NA,11251,14991,15923,NA,NA,NA,0.6364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"Tompkins Cortland Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9409,NA,7024,9149,12609,14360,14748,NA,NA,NA,NA,NA,NA,0.5279,NA,0.3333,12000,133.2246,0.595788392,NA,0.262825864,29900,0.492063493,0.525065963060686
"Toni & Guy Hairdressing Academy-Albuquerque",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13132,NA,NA,NA,NA,NA,11860,12745,16171,16171,16171,NA,0.8889,NA,NA,15573,172.8922247,NA,NA,0.627466667,NA,NA,0.510204081632653
"Toni & Guy Hairdressing Academy-Atlanta",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14208,NA,NA,NA,NA,NA,12859,14580,15897,17947,17947,NA,0.75,NA,NA,9833,109.1664577,NA,NA,0.82858,17200,0.206521735,0.648648648648649
"Toni & Guy Hairdressing Academy-Bellingham",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16767,NA,NA,NA,NA,NA,16767,NA,NA,NA,NA,NA,0.8667,NA,NA,13000,144.32665,0.719745223,NA,NA,NA,0.316455692,1
"Toni & Guy Hairdressing Academy-Boise",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17535,NA,NA,NA,NA,NA,17535,NA,NA,NA,NA,NA,0.7778,NA,NA,18969,210.5947865,0.608527132,NA,0.622857143,14600,0.19178082,1
"Toni & Guy Hairdressing Academy-Carrollton",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15462,NA,NA,NA,NA,NA,14231,14927,17127,18085,18445,NA,0.6154,NA,NA,16308,181.0522314,0.645,NA,0.642537198,22000,0.444444448,0.548780487804878
"Toni & Guy Hairdressing Academy-Coeur D Alene",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17790,NA,NA,NA,NA,NA,17790,NA,NA,NA,NA,NA,0.9286,NA,NA,18969,210.5947865,0.608527132,NA,0.7807,14600,0.19178082,1
"Toni & Guy Hairdressing Academy-Colorado Springs",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18994,NA,NA,NA,NA,NA,18607,19787,20814,NA,NA,NA,0.8,NA,NA,13000,144.32665,0.719745223,NA,0.807713846,NA,0.316455692,0.738461538461539
"Toni & Guy Hairdressing Academy-Cranston",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15537,NA,NA,NA,NA,NA,14253,14778,17041,17941,18751,NA,0.963,NA,NA,11714.5,130.0549647,0.744186047,NA,0.863915183,NA,NA,0.446153846153846
"Toni & Guy Hairdressing Academy-Jacksonville",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663,NA,NA,NA,NA,NA,18663,NA,NA,NA,NA,NA,NA,NA,NA,11145,123.7323473,0.571428571,NA,0.625025,17100,0.300000012,1
"Toni & Guy Hairdressing Academy-Manteca",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15298,NA,NA,NA,NA,NA,14898,15711,17280,NA,NA,NA,0.9231,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"Toni & Guy Hairdressing Academy-Modesto",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11285,NA,NA,NA,NA,NA,10991,13342,NA,NA,NA,NA,0.88,NA,0.8,10556,117.1932398,NA,NA,NA,NA,NA,0.875
"Toni & Guy Hairdressing Academy-Santa Monica",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14262,NA,NA,NA,NA,NA,13312,14347,16953,18063,18063,NA,0.7632,NA,NA,15135.5,168.0350778,0.59047619,NA,0.750030556,NA,NA,0.640776699029126
"Toni & Guy Hairdressing Academy-Shoreline",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15150,NA,NA,NA,NA,NA,15150,NA,NA,NA,NA,NA,0.8571,NA,NA,17666,196.1288153,0.635416667,NA,0.755584444,NA,0.396226406,1
"Toni & Guy Hairdressing Academy-Toledo",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14850,NA,NA,NA,NA,NA,13010,15296,15682,17115,17115,NA,0.8462,NA,NA,12000,133.2246,NA,NA,NA,NA,NA,0.444444444444444
"Toni & Guy Hairdressing Academy-Worcester",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19613,NA,NA,NA,NA,NA,18189,19304,18210,22010,22010,NA,0.8889,NA,NA,10667,118.4255674,0.658536585,NA,0.674701205,NA,NA,0.466666666666667
"Top Nails & Hair Beauty School",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11866,NA,NA,NA,NA,NA,11866,11866,NA,NA,NA,NA,0.9615,NA,0.6111,NA,NA,NA,NA,NA,NA,NA,0.5
"Torah Temimah Talmudical Seminary",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7851,NA,NA,NA,NA,NA,6767,9121,11255,NA,NA,0.4808,NA,NA,NA,NA,NA,NA,0.023489412,NA,NA,NA,0.6
"Total Cosmetology Training Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12832,NA,NA,NA,NA,NA,12832,NA,NA,NA,NA,NA,0.7143,NA,0.6,8485,94.20089425,0.473053892,NA,0.813071963,NA,NA,1
"Total Image Beauty Academy",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9955,NA,NA,NA,NA,NA,9955,NA,NA,NA,NA,NA,0.878,NA,NA,4315,47.90534575,NA,NA,0.99,NA,NA,1
"Total Look School of Cosmetology & Massage Therapy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8328,NA,NA,NA,NA,NA,7892,8352,6452,11052,NA,NA,1,NA,NA,NA,NA,NA,NA,0.923087179,NA,NA,0.4
"Tougaloo College",3,0,365,537,357,447,NA,NA,451,402,NA,15,21,14,22,16,19,NA,NA,18,18,18,NA,864,864,NA,11263,NA,NA,NA,NA,NA,10019,14724,15148,16054,18679,0.6996,NA,NA,NA,34500,383.020725,0.355789474,0.505641535,NA,29500,0.388000011,0.760975609756098
"Touro College",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13646,NA,NA,NA,NA,NA,12655,13610,15639,19993,19793,0.4631,NA,0.5714,NA,12500,138.775625,0.66722478,0.306334476,NA,29400,0.483647645,0.651515151515151
"Touro University California",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23899.5,265.333444,0.929824561,NA,NA,NA,NA,NA
"Touro University Nevada",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23899.5,265.333444,0.929824561,NA,NA,NA,NA,NA
"Touro University Worldwide",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7600,NA,NA,NA,NA,NA,6163,9756,NA,NA,NA,0.6667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
"Towson University",3,0,490,580,500,590,500,580,535,545,540,21,25,21,25,21,25,7,8,23,23,23,8,1078,1078,16133,NA,9455,10892,14499,19588,20552,NA,NA,NA,NA,NA,0.8603,NA,1,NA,19000,210.93895,0.877104745,0.656359865,NA,49500,0.75282526,0.163533834586466
"Tramy Beauty School",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14996,NA,NA,NA,NA,NA,14974,14623,15854,NA,NA,NA,0.8333,NA,0.8333,NA,NA,NA,NA,0.9279,NA,NA,0.846153846153846
"Transformed Barber and Cosmetology Academy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10902,NA,NA,NA,NA,NA,10902,NA,NA,NA,NA,NA,0.6667,NA,0,9500,105.469475,0.106382979,NA,0.58534878,NA,NA,1
"Transylvania University",3,0,520,660,510,630,NA,NA,590,570,NA,24,30,24,32,23,28,NA,NA,27,28,26,NA,1213,1213,NA,20488,NA,NA,NA,NA,NA,15256,16435,19470,23085,25716,0.8731,NA,NA,NA,27000,299.75535,0.915942029,0.729305096,NA,41100,0.592592597,0.181818181818182
"Travel Institute of the Pacific",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11238,NA,NA,NA,NA,NA,10814,12984,15210,NA,NA,NA,0.9091,NA,NA,9500,105.469475,0.352380952,NA,0.879887206,23800,0.296296299,0.847222222222222
"Traviss Career Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6805,NA,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2202,NA,0.6667,NA,NA,NA,NA,0.739127592,27300,0.489361703,1
"Traxlers School of Hair",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6697,NA,NA,NA,NA,NA,6697,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,0.86955,NA,NA,1
"Treasure Valley Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8840,NA,8803,9583,11033,NA,NA,NA,NA,NA,NA,NA,NA,0.5104,NA,0.3305,19000,210.93895,0.448892066,NA,0.202494835,28800,0.425824165,0.970588235294118
"Trend Barber College",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3573,NA,NA,NA,NA,NA,3010,6925,NA,NA,NA,NA,0.6,NA,NA,12500,138.775625,0.103004292,NA,0.672859813,NA,NA,0.856209150326797
"Trend Setters' Academy of Beauty Culture-Elizabethtown",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9940,NA,NA,NA,NA,NA,9940,NA,NA,NA,NA,NA,0.5484,NA,0.4286,6336,70.3425888,0.360655738,NA,0.666696296,15000,0.094202898,1
"Trend Setters' Academy of Beauty Culture-Louisville",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11987,NA,NA,NA,NA,NA,11987,NA,NA,NA,NA,NA,0.6129,NA,0.4,6336,70.3425888,0.360655738,NA,0.49332,15000,0.094202898,1
"Trend Setters' Academy of Beauty Culture-Louisville",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11987,NA,NA,NA,NA,NA,11987,NA,NA,NA,NA,NA,0.6129,NA,0.4,6336,70.3425888,0.360655738,NA,0.49332,15000,0.094202898,1
"Trend Setters' Academy of Beauty Culture-Louisville",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9593,NA,NA,NA,NA,NA,9593,NA,NA,NA,NA,NA,0.225,NA,0.5294,6336,70.3425888,0.360655738,NA,NA,15000,0.094202898,1
"Trend Setters' Academy of Beauty Culture-Louisville",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9593,NA,NA,NA,NA,NA,9593,NA,NA,NA,NA,NA,0.225,NA,0.5294,6336,70.3425888,0.360655738,NA,NA,15000,0.094202898,1
"Trend Setters School of Cosmetology",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8567,NA,NA,NA,NA,NA,7379,10695,9629,NA,NA,NA,0.875,NA,NA,9833,109.1664577,NA,NA,0.708703937,NA,NA,0.631578947368421
"Trendsetters School of Beauty & Barbering",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14445,NA,NA,NA,NA,NA,14445,NA,NA,NA,NA,NA,0.9333,NA,0.8333,10339,114.784095,0.354166667,NA,0.784609231,NA,NA,1
"Trenz Beauty Academy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA
"Trevecca Nazarene University",3,0,480,590,450,570,NA,NA,535,510,NA,19,26,19,27,17,25,NA,NA,23,23,21,NA,1049,1049,NA,16904,NA,NA,NA,NA,NA,14529,16517,16933,17826,18279,0.7479,NA,0.6,NA,18750,208.1634375,0.860284605,0.508374895,NA,39500,0.67979455,0.210280373831776
"Tri-County Adult Career Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9486,NA,9486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6707,NA,NA,NA,NA,NA,NA,0.8529,NA,NA,1
"Tri-County Beauty Academy",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8713,NA,NA,NA,NA,NA,6855,NA,NA,7818,11018,NA,1,NA,NA,NA,NA,NA,NA,0.9,NA,NA,0.4
"Tri-County Community College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7003,NA,6323,7175,8490,NA,9835,NA,NA,NA,NA,NA,NA,0.561,NA,0.55,9656,107.2013948,NA,NA,0.372814035,21700,0.327935219,0.55
"Tri-County Technical College",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9411,NA,8881,8479,10353,11238,11516,NA,NA,NA,NA,NA,NA,0.4563,NA,0.3717,8000,88.8164,0.511591963,NA,0.121565312,26100,0.454918027,0.537755102040816
"Tri-Rivers Career Center",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16166,NA,16166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,1,7500,83.265375,0.692307692,NA,0.791125316,NA,0.743589759,1
"Tri-State Bible College",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tri-State College of Acupuncture",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tri-State Cosmetology Institute",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14013,NA,NA,NA,NA,NA,14195,13071,14046,NA,NA,NA,0.8,NA,0.8571,5546.5,61.57752033,0.666666667,NA,0.672848148,14500,0.149305552,0.714285714285714
"Tri-State Institute of Hair Design",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4597,NA,NA,NA,NA,NA,4309,5159,5911,NA,NA,NA,0.4,NA,0.5,NA,NA,NA,NA,NA,NA,NA,0.764705882352941
"Tri County Regional Vocational Technical High School",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10014,NA,10129,9439,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8182,NA,1,NA,NA,NA,NA,0.935200926,NA,NA,0.833333333333333
"Triangle Tech Inc-Bethlehem",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18940,NA,NA,NA,NA,NA,17109,17400,18580,23009,25016,NA,0.7869,NA,NA,14750,163.7552375,0.79950495,NA,0.675683784,37700,0.706451595,0.518518518518518
"Triangle Tech Inc-Dubois",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17715,NA,NA,NA,NA,NA,14961,16576,19073,23414,25457,NA,0.81,NA,NA,12000,133.2246,0.673704415,NA,0.853163125,35800,0.650246322,0.377777777777778
"Triangle Tech Inc-Erie",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19853,NA,NA,NA,NA,NA,19175,18481,21779,23299,26420,NA,0.7955,NA,NA,18934,210.2062147,0.631067961,NA,0.673884783,30800,0.567251444,0.48936170212766
"Triangle Tech Inc-Greensburg",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15769,NA,NA,NA,NA,NA,13125,13469,16554,19270,21012,NA,0.9012,NA,NA,14750,163.7552375,0.79950495,NA,0.772113953,37700,0.706451595,0.419354838709677
"Triangle Tech Inc-Pittsburgh",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19258,NA,NA,NA,NA,NA,18196,18665,21027,23754,23256,NA,0.7111,NA,NA,20000,222.041,0.544444444,NA,0.732997382,35500,0.605970144,0.632183908045977
"Triangle Tech Inc-Sunbury",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19150,NA,NA,NA,NA,NA,17992,16621,18931,23280,21015,NA,0.8525,NA,NA,12000,133.2246,0.673704415,NA,0.762237762,35800,0.650246322,0.363636363636364
"Tribeca Flashpoint Media Arts Academy",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35422,NA,NA,NA,NA,NA,33719,34739,35683,37120,36370,NA,0.8333,NA,NA,6500,72.163325,NA,NA,NA,NA,NA,0.291666666666667
"Tricoci University of Beauty Culture-Bridgeview",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15543,NA,NA,NA,NA,NA,15543,NA,NA,NA,NA,NA,0.8421,NA,0.7778,11435,126.9519418,0.705882353,NA,0.738349419,NA,NA,1
"Tricoci University of Beauty Culture-Chicago",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15460,NA,NA,NA,NA,NA,15460,NA,NA,NA,NA,NA,0.7895,NA,1,11585.5,128.6228003,0.653061224,NA,0.751043568,NA,NA,1
"Tricoci University of Beauty Culture-Chicago NE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14490,NA,NA,NA,NA,NA,14490,NA,NA,NA,NA,NA,0.6667,NA,1,12661,140.5630551,0.888888889,NA,NA,NA,NA,1
"Tricoci University of Beauty Culture-Glendale Heights",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13267,NA,NA,NA,NA,NA,13267,NA,NA,NA,NA,NA,0.7619,NA,0.8,12661,140.5630551,0.888888889,NA,0.788488462,NA,NA,1
"Tricoci University of Beauty Culture-Highland",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15973,NA,NA,NA,NA,NA,15938,NA,18216,NA,NA,NA,0.6667,NA,0.875,11170.5,124.0154495,0.652173913,NA,0.681025862,19600,0.27692309,0.984615384615385
"Tricoci University of Beauty Culture-Indianapolis",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15659,NA,NA,NA,NA,NA,15659,NA,NA,NA,NA,NA,0.75,NA,0.7778,7307,81.12267935,0.708609272,NA,0.803038636,NA,NA,1
"Tricoci University of Beauty Culture-Libertyville",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15264,NA,NA,NA,NA,NA,15264,NA,NA,NA,NA,NA,0.9091,NA,1,11435,126.9519418,0.740740741,NA,0.778661069,NA,NA,1
"Tricoci University of Beauty Culture-Peoria",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17637,NA,NA,NA,NA,NA,17637,NA,NA,NA,NA,NA,0.5455,NA,0.4,11162,123.9210821,0.737704918,NA,0.715672549,NA,NA,1
"Tricoci University of Beauty Culture-Rockford",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16862,NA,NA,NA,NA,NA,16867,NA,16719,NA,NA,NA,0.6,NA,NA,10435,115.8498918,0.707964602,NA,0.679148663,NA,NA,0.96969696969697
