"","INSTNM","POOR_Prop"
"368","Irvine Valley College",0.993265993265993
"369","ITT Technical Institute-National City",0.605263157894737
"370","ITT Technical Institute-San Dimas",0.692307692307692
"371","ITT Technical Institute-Orange",0.569444444444444
"372","Bellus Academy-El Cajon",0.944444444444444
"373","John F Kennedy University",NA
"374","American Jewish University",0.5
"375","Reedley College",0.998846597462514
"376","Life Pacific College",0.392857142857143
"377","The Art Institute of California-Argosy University San Diego",0.418439716312057
"378","University of La Verne",0.304950495049505
"379","Laguna College of Art and Design",0.241379310344828
"380","Lake Tahoe Community College",1
"381","Lancaster Beauty School",0.8125
"382","Laney College",1
"383","Lassen Community College",0.981132075471698
"384","Life Chiropractic College West",NA
"385","Lincoln University",1
"386","Southern California Seminary",NA
"387","La Sierra University",0.356294536817102
"388","Loma Linda University",NA
"389","Long Beach City College",1
"390","Southern California University of Health Sciences",NA
"391","Los Angeles Harbor College",1
"392","Los Angeles Pierce College",1
"393","Los Angeles Southwest College",1
"394","Los Angeles Trade Technical College",1
"395","Los Angeles Valley College",0.99746192893401
"396","The Master's College and Seminary",0.191011235955056
"397","Los Angeles City College",1
"398","Los Angeles County College of Nursing and Allied Health",NA
"399","Los Angeles Mission College",1
"400","Los Medanos College",1
"401","The Art Institute of California-Argosy University San Francisco",0.45578231292517
"402","Loyola Marymount University",0.187227866473149
"403","Lu Ross Academy",0.513513513513513
"404","Manchester Beauty College",0.571428571428571
"405","Tulare Beauty College",0.625
"406","Lyles Fresno College of Beauty",0.6
"407","Lytles Redwood Empire Beauty College Inc",0.96
"408","MTI Business College Inc",0.857142857142857
"409","MTI College",0.623529411764706
"410","Kaplan College-Sacramento",0.891891891891892
"411","Kaplan College-San Diego",0.6
"412","Kaplan College-Vista",0.833333333333333
"413","College of Marin",1
"414","Marinello Schools of Beauty-Los Angeles",0.772757475083056
"415","Marymount California University",0.362385321100917
"416","Mendocino College",1
"417","Menlo College",0.261261261261261
"418","Merced College",1
"419","Merritt College",1
"420","Mills College",0.25
"421","MiraCosta College",1
"422","Marinello Schools of Beauty-San Francisco",0.817934782608696
"423","Mission College",1
"424","Modern Beauty Academy",0.695652173913043
"425","Kaplan College-North Hollywood",0.704918032786885
"426","Modesto Junior College",1
"427","Moler Barber College",0.928571428571429
"428","Monterey Institute of International Studies",NA
"429","Monterey Peninsula College",0.834170854271357
