,Class,Distance,Name
386,7,920302.1618843233,Three Rivers Community College
387,7,920838.7561247201,Lincoln Land Community College
388,7,946374.5947463744,Rockland Community College
389,7,1016566.2496093755,Kapiolani Community College
390,7,1033885.549651067,Johnston Community College
391,7,1100713.0531433534,Hawkeye Community College
392,7,1141119.2656950082,Oakton Community College
393,7,1194811.4464595977,Highland Community College
394,7,1194811.44645963,Highland Community College
395,7,1196274.9474925008,Mid Michigan Community College
396,7,1271759.471467837,Jamestown Community College
397,7,1300512.8685361552,East Central Community College
398,7,1374928.046632192,Northcentral Technical College
399,7,1390635.9470936668,College of Southern Maryland
400,7,1437327.8298065073,Texas State Technical College-Waco
401,7,1456688.3488150127,Northeast Texas Community College
402,7,1490186.768473971,Skagit Valley College
403,7,1549288.8965407691,Hill College
404,7,1558121.8395081242,Wor-Wic Community College
405,7,1574219.5431091655,Muskegon Community College
406,7,1616441.2222188793,St Cloud Technical and Community College
407,7,1648488.2338617975,Danville Community College
408,7,1655089.8270692807,Indian Hills Community College
409,7,1674895.4054110595,Delaware Technical Community College-Owens
410,7,1718202.4737336882,Lake Land College
411,7,1736352.2865044833,Catawba Valley Community College
412,7,1775302.2327034466,Carl Albert State College
413,7,1822989.3415138947,County College of Morris
414,8,0.0,Phoenix College
415,8,241525.65443528982,Owens Community College
416,8,253799.4979900347,Bluegrass Community and Technical College
417,8,433906.6811921393,Clark College
418,8,457883.48422918876,Erie Community College
419,8,480781.6710626822,Collin County Community College District
420,8,583626.9988913779,Blinn College
421,8,947173.0241711885,Grand Rapids Community College
422,8,1007082.0077183308,Pikes Peak Community College
423,8,1240063.1193754212,Moraine Valley Community College
424,8,1259960.9040788673,Pitt Community College
425,8,1478372.364294633,Mott Community College
426,8,1608602.4322873917,City Colleges of Chicago-Harold Washington College
427,8,1891610.066227042,Camden County College
428,8,1935197.1806861383,Metropolitan Community College Area
429,8,2082233.2108309602,Front Range Community College
430,8,2114666.3896186235,Kirkwood Community College
431,8,2160609.2987268423,Jefferson Community and Technical College
432,8,2188600.1345287324,Navarro College
433,8,2303029.7085562013,Northwest Mississippi Community College
434,8,2304420.1275829743,Midlands Technical College
435,8,2366517.825104216,SUNY Westchester Community College
436,8,2416147.5168902697,Des Moines Area Community College
437,8,2605190.772675515,Bossier Parish Community College
438,8,2703208.4256554125,Lansing Community College
439,8,3410822.618711384,Chemeketa Community College
440,8,3419687.074092613,Mississippi Gulf Coast Community College
441,8,4116790.908792462,Tallahassee Community College
442,8,4222294.186081997,Tulsa Community College
443,8,4477171.833495661,Bunker Hill Community College
444,8,5432403.295291924,Community College of Rhode Island
445,8,5987697.325142403,Community College of Allegheny County
446,8,7153991.043028856,Pulaski Technical College
447,8,7626812.900927928,Suffolk County Community College
448,8,8056751.013132071,Nassau Community College
449,8,8065889.789383725,Fox Valley Technical College
450,8,8563370.762716763,Ozarks Technical Community College
451,8,8793232.691496639,Henry Ford Community College
452,8,8967257.059137214,Wake Technical Community College
453,8,10234283.664715646,Monroe Community College
454,8,10283832.519818978,Guilford Technical Community College
455,8,10461828.757915478,Central New Mexico Community College
456,8,10594286.612831961,Sinclair Community College
457,8,10909448.945567852,Montgomery College
458,8,12172098.820602067,College of DuPage
459,8,12305496.727777446,Hinds Community College
