"INSTNM","UNITID","NPT4_PRIV","NPT41_PRIV","NPT42_PRIV","RET_FTL4","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP","RPY_3YR_RT_SUPP","C200_L4_POOLED_SUPP","md_earn_wne_p10","gt_25k_p6","POOR_Prop"
"Carnegie Institute",169187,13376,13936,12518,0.871,9036,100.3181238,0.850746269,0.822193333,29800,0.566801608,0.739130434782609
"Carousel Beauty College-Springfield",416971,15166,15024,13891,0.4,6510,72.2743455,0.503597122,0.557669231,14400,0.173333332,0.8
"Carrington College-Albuquerque",442602,25575,25254,24644,0.8197,9500,105.469475,0.475178297,0.674319266,26200,0.432048112,0.545454545454545
"Carrington College-Mesa",103909,22169,22247,19972,0.7179,9500,105.469475,0.475178297,0.671635807,26200,0.432048112,0.791666666666667
"Carrington College-Portland",246035,22394,21935,20454,0.8333,8824,97.9644892,0.590633831,0.684705869,29100,0.473595977,0.454545454545455
"Carrington College-Spokane",439118,24304,24144,23439,0.7167,8824,97.9644892,0.590633831,0.696985476,29100,0.473595977,0.744186046511628
"Carrington College-Tucson",103927,21229,20944,21767,0.7273,9500,105.469475,0.475178297,0.633205019,26200,0.432048112,0.785714285714286
"Carrington College California-Citrus Heights",450702,17431,17418,16223,0.5909,13683,151.9093502,0.467313416,0.668963158,29700,0.507042229,0.857142857142857
"Carrington College California-Sacramento",125532,16838,16489,16780,0.5726,13683,151.9093502,0.467313416,0.575036398,29700,0.507042229,0.753846153846154
"Carrington College California-San Jose",437936,21270,19725,21946,0.8056,13683,151.9093502,0.467313416,0.664650443,29700,0.507042229,0.533333333333333
"Carrington College California-San Leandro",246974,18795,17913,16696,0.7027,13683,151.9093502,0.467313416,0.619052726,29700,0.507042229,0.631578947368421
"Carrington College California-Stockton",450696,18306,17160,17444,0.7826,13683,151.9093502,0.467313416,0.707148555,29700,0.507042229,0.527777777777778
"Carsten Institute of Cosmetology",419156,13069,11664,12179,0.625,9500,105.469475,0.697916667,0.435147328,20300,0.468181819,0.4
"Carsten Institute of Cosmetology",419156,13069,11664,12179,0.625,9500,105.469475,0.697916667,0.435147328,20300,0.468181819,1
"Casa Loma College-Van Nuys",111638,25630,25316,26281,0.625,16862,187.2027671,0.645209581,0.771649481,47400,0.753501415,0.786885245901639
"Catherine Hinds Institute of Esthetics",165255,13755,12549,15392,0.9762,6332.5,70.30373163,0.906666667,0.888894444,28700,0.523560226,0.575757575757576
"CBD College",439367,16958,15691,20694,0.9091,13000,144.32665,0.772893773,0.955612949,18800,0.269340962,0.746835443037975
"CBT College-Cutler Bay",456977,17444,17364,18214,0.8125,9485,105.3029443,0.637647059,0.5895,23100,0.361111104,0.90625
"Central California School",419183,20810,20367,22880,0.7877,5461,60.62829505,0.506493506,0.706228125,35600,0.654321015,0.840764331210191
"Central Career Institute LLC",436003,15507,14726,15954,0.8182,7255,80.54537275,0.720812183,0.8526,35500,0.508771956,0.634146341463415
"Central School of Practical Nursing",201681,16669,16337,16825,0.7755,9500,105.469475,0.769230769,0.702055102,39400,0.70588237,0.717557251908397
"Central School of Practical Nursing",201681,16669,16337,16825,0.7755,9500,105.469475,0.769230769,0.702055102,39400,0.70588237,1
"Central State Beauty Academy",206932,14743,14542,14006,0.8,6333,70.30928265,0.417391304,0.8413,13700,0.192000002,0.666666666666667
"Centura College-Columbia",444972,22739,22178,23871,0.55,9500,105.469475,0.224306688,0.5294,20600,0.261772841,0.75
"Centura College-Norfolk",377458,21654,21485,22788,0.5122,22250,247.0206125,0.195557591,0.560973171,24500,0.343833417,0.666666666666667
"Centura College-Richmond Main",427982,23686,22387,26131,0.8519,20000,222.041,0.23902439,0.493145205,25200,0.367032975,0.692307692307692
"CET-Alexandria",427894,18881,18793,19668,0.8,5450,60.5061725,0.340693196,0.852468852,21600,0.354960531,0.9
"CET-Chicago",146791,11160,11154,11525,0.8248,5450,60.5061725,0.340693196,0.829885915,21600,0.354960531,0.983606557377049
"CET-Durham",427919,12523,12522,12548,0.7941,5450,60.5061725,0.340693196,0.615657143,21600,0.354960531,0.96
"CET-El Centro",111726,-264,-570,4631,0.8519,5450,60.5061725,0.340693196,0.903872093,21600,0.354960531,0.941176470588235
"CET-El Paso",432269,13708,13646,14140,0.9444,5450,60.5061725,0.340693196,0.837578662,21600,0.354960531,0.894736842105263
"CET-Oxnard",381282,12111,11686,10461,0.7632,5450,60.5061725,0.340693196,0.788865339,21600,0.354960531,0.75
"CET-Sacramento",430342,13242,13159,12573,0.9091,5450,60.5061725,0.340693196,0.788108333,21600,0.354960531,0.777777777777778
"CET-Salinas",111799,12479,12548,12203,0.6667,5450,60.5061725,0.340693196,0.79475,21600,0.354960531,0.8
"CET-San Bernardino",111744,12322,12280,11798,0.9,5450,60.5061725,0.340693196,0.823853659,21600,0.354960531,0.8
"CET-San Diego",111708,14109,13894,13671,0.7857,5450,60.5061725,0.340693196,0.778145313,21600,0.354960531,0.84375
"CET-Santa Maria",381325,13570,13104,13850,0.8519,5450,60.5061725,0.340693196,0.7984,21600,0.354960531,0.777777777777778
"CET-Sobrato",111717,12906,12762,13120,0.8134,5450,60.5061725,0.340693196,0.807894208,21600,0.354960531,0.807692307692308
"CET-Soledad",468769,12387,12327,10966,0.8636,5450,60.5061725,0.340693196,0.8704,21600,0.354960531,0.785714285714286
"CET-Watsonville",111762,11479,11043,12068,0.6905,5450,60.5061725,0.340693196,0.827353237,21600,0.354960531,0.727272727272727
"Charles and Sues School of Hair Design",223852,14799,14049,14959,0.8333,10750,119.3470375,0.417910448,0.731145161,14600,0.163636357,0.720930232558139
"Charles of Italy Beauty College",104391,10819,9846,11734,0.9342,7389,82.03304745,0.424,0.674825153,16500,0.200000003,0.645161290322581
"Charleston School of Beauty Culture",237303,5322,5334,5140,0.7073,6333,70.30928265,0.388235294,0.430675912,15900,0.170454547,0.789473684210526
"Cheeks International Academy of Beauty Culture-Cheyenne",240709,7975,7682,8838,0.4286,8222.5,91.28660613,0.369863014,0.827148148,14900,0.161016956,0.8
"Cheeks International Academy of Beauty Culture-Fort Collins",381699,7574,6849,9604,0.4583,8222.5,91.28660613,0.369863014,0.7609,14900,0.161016956,0.75
"Cheeks International Academy of Beauty Culture-Greeley",381705,8304,7922,8917,0.4583,8222.5,91.28660613,0.369863014,0.80265,14900,0.161016956,0.754716981132076
"Clarksburg Beauty Academy and School of Massage Therapy",237321,8871,9151,8777,0.7125,6700,74.383735,0.299363057,0.56930365,15200,0.076190479,0.729166666666667
"Clary Sage College",450401,18249,17909,19377,0.7479,11609,128.8836985,0.485061511,0.779851866,24100,0.316804409,0.808900523560209
"Cleveland Institute of Dental-Medical Assistants-Cleveland",202055,9343,9109,9857,0.7045,9500,105.469475,0.457920792,0.749416465,21600,0.316666663,0.78448275862069
"Cleveland Institute of Dental-Medical Assistants-Lyndhurst",375319,10091,9993,10024,0.7059,9500,105.469475,0.457920792,0.769359168,21600,0.316666663,0.764705882352941
"Cleveland Institute of Dental-Medical Assistants-Mentor",375300,10352,10073,11053,0.7246,9500,105.469475,0.457920792,0.756517376,21600,0.316666663,0.768595041322314
"Colleen O'Haras Beauty Academy",420608,29166,29029,28883,0.7727,9961,110.5875201,0.437246964,0.691523729,16300,0.25,0.784313725490196
"College of Business and Technology-Flagler",449083,15512,15512,15512,0.814,9485,105.3029443,0.637647059,0.858581531,23100,0.361111104,0.975409836065574
"College of Business and Technology-Hialeah",449092,15602,15398,16348,0.9305,9485,105.3029443,0.637647059,0.933822568,23100,0.361111104,0.785714285714286
"College of Cosmetology",210340,7820,7497,8649,0.5,14916,165.5981778,0.368932039,0.593032558,11800,0.245283023,0.833333333333333
"College of Health Care Professions-Northwest",392257,20307,20080,19824,0.793,9500,105.469475,0.466543892,0.765042771,27100,0.453333348,0.75974025974026
"Colorado Media School",443632,17035,16265,16974,0.8313,9500,105.469475,0.516549649,0.789153012,27700,0.425149709,0.674157303370786
"Community Care College",439570,16646,16244,18221,0.7692,11609,128.8836985,0.485061511,0.689471803,24100,0.316804409,0.81888745148771
"Concorde Career College-Aurora",126687,20374,20205,21144,0.6571,9500,105.469475,0.630057803,0.726052804,29200,0.555708408,0.941176470588235
"Concorde Career College-Garden Grove",123679,27175,27170,27412,0.6537,9500,105.469475,0.679904686,0.78244314,36700,0.718926549,0.97887323943662
